2025-02-27 20:18:36 install krb5-locales:all <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 status half-installed krb5-locales:all 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 status unpacked krb5-locales:all 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 install less:amd64 <none> 590-2ubuntu2.1
2025-02-27 20:18:36 status half-installed less:amd64 590-2ubuntu2.1
2025-02-27 20:18:37 status unpacked less:amd64 590-2ubuntu2.1
2025-02-27 20:18:37 install libbsd0:amd64 <none> 0.12.1-1build1.1
2025-02-27 20:18:37 status half-installed libbsd0:amd64 0.12.1-1build1.1
2025-02-27 20:18:37 status unpacked libbsd0:amd64 0.12.1-1build1.1
2025-02-27 20:18:37 install libexpat1:amd64 <none> 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 status half-installed libexpat1:amd64 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 status unpacked libexpat1:amd64 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 install libkrb5support0:amd64 <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status half-installed libkrb5support0:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 install libk5crypto3:amd64 <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status half-installed libk5crypto3:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 install libkeyutils1:amd64 <none> 1.6.3-3build1
2025-02-27 20:18:37 status half-installed libkeyutils1:amd64 1.6.3-3build1
2025-02-27 20:18:37 status unpacked libkeyutils1:amd64 1.6.3-3build1
2025-02-27 20:18:37 install libkrb5-3:amd64 <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status half-installed libkrb5-3:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 install libgssapi-krb5-2:amd64 <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status half-installed libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 install libpam-cap:amd64 <none> 1:2.66-5ubuntu2.2
2025-02-27 20:18:37 status half-installed libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:37 status unpacked libpam-cap:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:37 install netbase:all <none> 6.4
2025-02-27 20:18:37 status half-installed netbase:all 6.4
2025-02-27 20:18:37 status unpacked netbase:all 6.4
2025-02-27 20:18:37 install libcbor0.10:amd64 <none> 0.10.2-1.2ubuntu2
2025-02-27 20:18:37 status half-installed libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-02-27 20:18:37 status unpacked libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-02-27 20:18:37 install libedit2:amd64 <none> 3.1-20230828-1build1
2025-02-27 20:18:37 status half-installed libedit2:amd64 3.1-20230828-1build1
2025-02-27 20:18:37 status unpacked libedit2:amd64 3.1-20230828-1build1
2025-02-27 20:18:37 install libfido2-1:amd64 <none> 1.14.0-1build3
