2025-04-11 01:50:53 install libnghttp2-14:amd64 <none> 1.59.0-1ubuntu0.2
2025-04-11 01:50:53 status half-installed libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-04-11 01:50:53 status unpacked libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-04-11 01:50:53 install libpsl5t64:amd64 <none> 0.21.2-1.1build1
2025-04-11 01:50:53 status half-installed libpsl5t64:amd64 0.21.2-1.1build1
2025-04-11 01:50:53 status unpacked libpsl5t64:amd64 0.21.2-1.1build1
2025-04-11 01:50:53 install libxau6:amd64 <none> 1:1.0.9-1build6
2025-04-11 01:50:53 status half-installed libxau6:amd64 1:1.0.9-1build6
2025-04-11 01:50:53 status unpacked libxau6:amd64 1:1.0.9-1build6
2025-04-11 01:50:53 install libxdmcp6:amd64 <none> 1:1.1.3-0ubuntu6
2025-04-11 01:50:53 status half-installed libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-04-11 01:50:53 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-04-11 01:50:53 install libxcb1:amd64 <none> 1.15-1ubuntu2
2025-04-11 01:50:53 status half-installed libxcb1:amd64 1.15-1ubuntu2
2025-04-11 01:50:53 status unpacked libxcb1:amd64 1.15-1ubuntu2
2025-04-11 01:50:53 install libx11-data:all <none> 2:1.8.7-1build1
2025-04-11 01:50:53 status half-installed libx11-data:all 2:1.8.7-1build1
2025-04-11 01:50:53 status unpacked libx11-data:all 2:1.8.7-1build1
2025-04-11 01:50:53 install libx11-6:amd64 <none> 2:1.8.7-1build1
2025-04-11 01:50:53 status half-installed libx11-6:amd64 2:1.8.7-1build1
2025-04-11 01:50:53 status unpacked libx11-6:amd64 2:1.8.7-1build1
2025-04-11 01:50:53 install libxext6:amd64 <none> 2:1.3.4-1build2
2025-04-11 01:50:53 status half-installed libxext6:amd64 2:1.3.4-1build2
2025-04-11 01:50:53 status unpacked libxext6:amd64 2:1.3.4-1build2
2025-04-11 01:50:53 install libxmuu1:amd64 <none> 2:1.1.3-3build2
2025-04-11 01:50:53 status half-installed libxmuu1:amd64 2:1.1.3-3build2
2025-04-11 01:50:53 status unpacked libxmuu1:amd64 2:1.1.3-3build2
2025-04-11 01:50:53 install nano:amd64 <none> 7.2-2ubuntu0.1
2025-04-11 01:50:53 status half-installed nano:amd64 7.2-2ubuntu0.1
2025-04-11 01:50:53 status unpacked nano:amd64 7.2-2ubuntu0.1
2025-04-11 01:50:53 install openssh-client:amd64 <none> 1:9.6p1-3ubuntu13.9
2025-04-11 01:50:53 status half-installed openssh-client:amd64 1:9.6p1-3ubuntu13.9
2025-04-11 01:50:53 status unpacked openssh-client:amd64 1:9.6p1-3ubuntu13.9
2025-04-11 01:50:53 install publicsuffix:all <none> 20231001.0357-0.1
2025-04-11 01:50:53 status half-installed publicsuffix:all 20231001.0357-0.1
2025-04-11 01:50:53 status unpacked publicsuffix:all 20231001.0357-0.1
2025-04-11 01:50:53 install wget:amd64 <none> 1.21.4-1ubuntu4.1
2025-04-11 01:50:53 status half-installed wget:amd64 1.21.4-1ubuntu4.1
2025-04-11 01:50:53 status unpacked wget:amd64 1.21.4-1ubuntu4.1
2025-04-11 01:50:53 install xauth:amd64 <none> 1:1.1.2-1build1
2025-04-11 01:50:53 status half-installed xauth:amd64 1:1.1.2-1build1
2025-04-11 01:50:53 status unpacked xauth:amd64 1:1.1.2-1build1
2025-04-11 01:50:53 install libbrotli1:amd64 <none> 1.1.0-2build2
2025-04-11 01:50:53 status half-installed libbrotli1:amd64 1.1.0-2build2
2025-04-11 01:50:53 status unpacked libbrotli1:amd64 1.1.0-2build2
2025-04-11 01:50:53 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:53 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:53 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:53 install libsasl2-2:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:53 status half-installed libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:53 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:54 install libldap2:amd64 <none> 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 status half-installed libldap2:amd64 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 status unpacked libldap2:amd64 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:54 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:54 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:54 install libssh-4:amd64 <none> 0.10.6-2build2
2025-04-11 01:50:54 status half-installed libssh-4:amd64 0.10.6-2build2
2025-04-11 01:50:54 status unpacked libssh-4:amd64 0.10.6-2build2
2025-04-11 01:50:54 install libcurl4t64:amd64 <none> 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status half-installed libcurl4t64:amd64 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status unpacked libcurl4t64:amd64 8.5.0-2ubuntu10.6
